exam_id, Name, ECTS, Bereich_BWL, Bereich_VWL
1, Mathe 1, 6, PB
2, Mathe 2, 6, PB
3, Statistik 1, 6, PB
4, Mikro 1, 6, PB
5, Mikro 2, 6, WB
6, VWL Einfrg., 6, PB
7, ExRewe, 6, PB 
8, Kostenrechnung, 6, PB
9, Recht, 5, PB
