Klausurname,Bereich,ECTS,Note,Gewichtete Note,„Nenner ECTS“,
Mathe 1,PB,6,1.7,10.2,6,
Mathe 2,PB,6,1,6,6,
Statistik 1,PB,6,1,6,6,
Mikro 1,PB,6,1,6,6,
Mikro 2,PB,6,1,6,6,
VWL Einführ.,PB,6,1,6,6,
ExRewe,PB,6,1,6,6,
Kostenrechnung,PB,6,1,6,6,
Finanzwirtschaft,WB,6,1.7,10.2,6,
Recht,PB,5,1.1,5.5,5,
,ÜWP,5,1.3,0,0,
,ÜWP,5,1.3,0,0,
,ÜWP,4,2,0,0,
,PB,,,0,0,
,PB,,,0,0,
,PB,,,0,0,
,PB,,,0,0,
,PB,,,0,0,
,PB,,,0,0,
,PB,,,0,0,
Calculations,,,,67.9,59,
ECTS/GPA,,73,,1.2,,
,,,,,,
